epoch,learning_rate,total_loss,classification_loss,training_accuracy,validation_accuracy,validation_macro_f1
29,0.0818711994874345,0.4571565957660349,0.4571565957660349,0.8436832264957265,0.8476,0.8491983774772314
30,0.08064535268264884,0.4612899085989705,0.4612899085989705,0.8431267806267806,0.8672,0.8683104900423555
31,0.07938926261462369,0.447515069122328,0.447515069122328,0.8446403133903134,0.8568,0.8571608652068585
32,0.07810416889260656,0.4446577829682929,0.4446577829682929,0.8469106125356125,0.84,0.8412382966951426
33,0.07679133974894985,0.4335519334359726,0.4335519334359726,0.8522079772079773,0.8546,0.8561367452117283
34,0.07545207078751859,0.43228881719105605,0.43228881719105605,0.8526753917378918,0.876,0.8770248852196112
35,0.07408768370508578,0.42560953708455773,0.42560953708455773,0.8541444088319088,0.859,0.8586924094857376
36,0.07269952498697736,0.4204779830243852,0.4204779830243852,0.8555021367521367,0.8062,0.8113048159974475
37,0.07128896457825365,0.4164912600462933,0.4164912600462933,0.8565482549857549,0.8544,0.8559442347344579
38,0.06985739453173904,0.41087889076977374,0.41087889076977374,0.859909188034188,0.8646,0.8639444170452029
39,0.06840622763423393,0.40653080834962024,0.40653080834962024,0.8595530626780626,0.8258,0.8301438303165231
40,0.0669368960122646,0.39931071556022024,0.39931071556022024,0.8630698005698005,0.8642,0.8641582266296904
41,0.0654508497187474,0.393233743191105,0.393233743191105,0.8648726851851852,0.8768,0.8759237114030427
42,0.0639495553019615,0.38503651482257406,0.38503651482257406,0.8665865384615384,0.877,0.8782170628018984
43,0.06243449435824276,0.3825468785657502,0.3825468785657502,0.8699697293447294,0.873,0.8744955797940654
44,0.060907162069827166,0.37450114877475293,0.37450114877475293,0.8719506766381766,0.8834,0.8839734275194278
45,0.059369065729286276,0.36966889557505606,0.36966889557505606,0.8736645299145299,0.8676,0.8668210262472089
46,0.057821723252011584,0.37240310947270133,0.37240310947270133,0.8725961538461539,0.868,0.865782340799037
47,0.05626666167821526,0.3627793798249671,0.3627793798249671,0.8760461182336182,0.8746,0.8729500192144567
48,0.054705415665925745,0.34662807000498486,0.34662807000498486,0.8823228276353277,0.8546,0.8547132832499853
49,0.05313952597646571,0.3511957912957906,0.3511957912957906,0.8800302706552706,0.8834,0.8819584420902664
50,0.051570537953906447,0.3421448802421575,0.3421448802421575,0.885238603988604,0.8264,0.8315016593768485
51,0.05000000000000003,0.3402202315734662,0.3402202315734662,0.8829460470085471,0.8884,0.8881030158829658
52,0.048429462046093615,0.3251077853291802,0.3251077853291802,0.8902466168091168,0.8982,0.8969514977947053
53,0.04686047402353436,0.3187813953286902,0.3187813953286902,0.8906027421652422,0.893,0.8928250511799695
54,0.04529458433407431,0.3177738223660026,0.3177738223660026,0.8914707977207977,0.89,0.8920539498682606
55,0.04373333832178482,0.30840913870735387,0.30840913870735387,0.8941639957264957,0.89,0.8874978015461685
56,0.04217827674798848,0.30229089814543386,0.30229089814543386,0.8965678418803419,0.908,0.9075950102039012
57,0.04063093427071379,0.29212151429592037,0.29212151429592037,0.9004184472934473,0.8974,0.89725480909418
58,0.03909283793017291,0.2915065040827816,0.2915065040827816,0.9003516737891738,0.8976,0.8971379217413918
59,0.03756550564175728,0.2839944085631615,0.2839944085631615,0.9017761752136753,0.9044,0.9044076574203419
60,0.036050444698038565,0.26991602748717336,0.26991602748717336,0.9061164529914529,0.9132,0.9127698885281548
61,0.03454915028125267,0.2684837137999018,0.2684837137999018,0.9082086894586895,0.8974,0.8993267379346206
62,0.03306310398773545,0.2553498563688365,0.2553498563688365,0.9128383190883191,0.9048,0.9054574345152385
63,0.03159377236576614,0.24897317694462942,0.24897317694462942,0.9156428062678063,0.902,0.9023086911360509
64,0.030142605468260985,0.24797510708074624,0.24797510708074624,0.9149973290598291,0.9216,0.9214875243080757
65,0.028711035421746387,0.2381402284671099,0.2381402284671099,0.9177795584045584,0.9152,0.9148776605330028
66,0.02730047501302268,0.22356142995194492,0.22356142995194492,0.9236778846153846,0.8982,0.8981466353549485
67,0.025912316294914247,0.2243435309610815,0.2243435309610815,0.9231659544159544,0.9072,0.9074184163635316
68,0.024547929212481452,0.21800295868490496,0.21800295868490496,0.9259036680911681,0.9176,0.9180886502818695
69,0.023208660251050173,0.2030311826924313,0.2030311826924313,0.9312678062678063,0.92,0.9203830979408008
70,0.02189583110739348,0.19331114200020788,0.19331114200020788,0.9346732549857549,0.923,0.9235131476562373
71,0.020610737385376363,0.19295513610809278,0.19295513610809278,0.9342280982905983,0.9246,0.9246168547807224
72,0.019354647317351183,0.17224720598031312,0.17224720598031312,0.9419070512820513,0.9344,0.9341318811297169
73,0.018128800512565525,0.17365636012153407,0.17365636012153407,0.9397925569800569,0.92,0.9208326813414371
74,0.016934406733817426,0.16217411767977935,0.16217411767977935,0.9443331552706553,0.9292,0.9290424815386599
75,0.015772644703565576,0.15320960212594423,0.15320960212594423,0.9481392450142451,0.9316,0.9323425094103918
76,0.014644660940672639,0.1474691700200919,0.1474691700200919,0.9488514957264957,0.9298,0.9302132697345712
77,0.013551568628929445,0.13977726399261728,0.13977726399261728,0.9522792022792023,0.9384,0.9383548972580635
78,0.012494446518477037,0.12352818052186246,0.12352818052186246,0.9581107549857549,0.9364,0.9366466576197766
79,0.011474337861210554,0.12102216886531593,0.12102216886531593,0.9581997863247863,0.9388,0.9393833957291257
80,0.01049224938121549,0.11276454389350027,0.11276454389350027,0.9620281339031339,0.9334,0.9332905305421615
81,0.009549150281252642,0.10572201965053027,0.10572201965053027,0.9644542378917379,0.9438,0.9439113012292074
82,0.008645971286271927,0.09834082469216779,0.09834082469216779,0.9672142094017094,0.945,0.9451407033190146
83,0.007783603724899264,0.08809314609009061,0.08809314609009061,0.9698183760683761,0.9462,0.9462977918064567
84,0.006962898649802819,0.08380701311431464,0.08380701311431464,0.9726006054131054,0.9494,0.9494514609312388
85,0.0061846659978068265,0.07654415650765525,0.07654415650765525,0.9742922008547008,0.9502,0.9503773156873017
86,0.005449673790581615,0.06746680248645466,0.06746680248645466,0.9781650641025641,0.9508,0.9509991416422491
87,0.004758647376699036,0.06493443341931047,0.06493443341931047,0.9786324786324786,0.946,0.9461628484899876
88,0.004112268715800957,0.057248738140631944,0.057248738140631944,0.9814814814814815,0.9514,0.9514723905874417
89,0.003511175705587435,0.054933970714481466,0.054933970714481466,0.981948896011396,0.9502,0.9502467383090443
90,0.0029559615522887295,0.05124888169258154,0.05124888169258154,0.9831063034188035,0.952,0.9521140913683148
91,0.0024471741852423253,0.04648345086903993,0.04648345086903993,0.9851317663817664,0.9528,0.9528827903830098
92,0.0019853157161528537,0.044291875492303796,0.044291875492303796,0.9859998219373219,0.9522,0.9523866228555777
93,0.0015708419435684529,0.041204635274100336,0.041204635274100336,0.9872907763532763,0.955,0.9551251766720954
94,0.0012041619030626347,0.03846037738354203,0.03846037738354203,0.9880475427350427,0.9552,0.9553516377901021
95,0.0008856374635655646,0.03647672731238298,0.03647672731238298,0.9886707621082621,0.9546,0.9547885609986457
96,0.0006155829702431174,0.034206421297584846,0.034206421297584846,0.9895610754985755,0.9558,0.9559034928060148
97,0.00039426493427611206,0.03585229131348028,0.03585229131348028,0.9887152777777778,0.9552,0.9552788040921234
98,0.00022190176984600036,0.034558404473179254,0.034558404473179254,0.9891826923076923,0.9556,0.9557174120683939
99,9.866357858642213e-05,0.03261418516171879,0.03261418516171879,0.9898059116809117,0.9556,0.9557447975937414
100,2.4671981713420017e-05,0.03260096668815001,0.03260096668815001,0.9900952635327636,0.9552,0.9553242163846513
